epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,2772.5,0.61476,0.33634,0.83773,0.86101,0.74486,0.79056,0.56631,1.01363,0.98288,0.97334,0.000548,0.000548,0.000548
112,2797.33,0.62402,0.3304,0.83657,0.91333,0.73333,0.7987,0.5791,1.01726,0.99695,0.9683,0.0005348,0.0005348,0.0005348
113,2822.15,0.62101,0.33006,0.83135,0.89689,0.74048,0.80479,0.58383,0.98543,0.96393,0.96482,0.0005216,0.0005216,0.0005216
114,2846.91,0.60338,0.33137,0.82991,0.8534,0.74844,0.7866,0.56487,1.00902,0.96813,0.96854,0.0005084,0.0005084,0.0005084
115,2871.9,0.60243,0.39571,0.82951,0.88681,0.74643,0.80579,0.58157,0.99594,0.95683,0.96584,0.0004952,0.0004952,0.0004952
116,2896.76,0.60547,0.32496,0.83167,0.87862,0.76698,0.80843,0.58102,0.97454,0.91889,0.96397,0.000482,0.000482,0.000482
117,2921.7,0.59886,0.33412,0.8355,0.89907,0.74643,0.8089,0.59282,0.95972,0.94178,0.95931,0.0004688,0.0004688,0.0004688
118,2946.7,0.60753,0.31895,0.83369,0.91054,0.73452,0.79845,0.58046,0.96307,0.96361,0.95997,0.0004556,0.0004556,0.0004556
119,2971.62,0.5837,0.31315,0.82792,0.90772,0.73333,0.80273,0.58981,0.9705,0.9417,0.95789,0.0004424,0.0004424,0.0004424
120,2996.5,0.58044,0.31935,0.82893,0.90911,0.74167,0.80921,0.59242,0.96695,0.94522,0.9549,0.0004292,0.0004292,0.0004292
121,3021.34,0.58192,0.3183,0.83176,0.898,0.75476,0.81011,0.59338,0.95774,0.91434,0.95904,0.000416,0.000416,0.000416
122,3046.38,0.55689,0.30116,0.83114,0.90721,0.7369,0.79606,0.57343,0.96684,0.90326,0.96376,0.0004028,0.0004028,0.0004028
123,3071.23,0.57115,0.29472,0.82148,0.90301,0.74258,0.79986,0.58121,0.96738,0.93041,0.96176,0.0003896,0.0003896,0.0003896
124,3096.12,0.56946,0.30243,0.82672,0.90104,0.74286,0.80152,0.58589,0.94744,0.93792,0.95833,0.0003764,0.0003764,0.0003764
125,3121.04,0.57094,0.29983,0.82744,0.88086,0.74814,0.7869,0.57525,0.94707,0.95505,0.95386,0.0003632,0.0003632,0.0003632
126,3146.11,0.54699,0.2908,0.82417,0.89482,0.75119,0.79476,0.58464,0.94002,0.92284,0.95377,0.00035,0.00035,0.00035
127,3170.92,0.53909,0.28609,0.81962,0.87426,0.76429,0.80996,0.59731,0.93487,0.91941,0.95256,0.0003368,0.0003368,0.0003368
128,3195.93,0.52123,0.27568,0.78925,0.90178,0.75238,0.81152,0.60109,0.94058,0.92529,0.9511,0.0003236,0.0003236,0.0003236
